factor_id,name,factor_type,star,effects
101,スピード,1,1,速:1/4/7/10/13/16/19/22/25/28
102,スピード,1,2,速:4/7/10/13/16/19/22/25/28
103,スピード,1,3,速:7/10/13/16/19/22/25/28
201,スタミナ,1,1,耐:1/4/7/10/13/16/19/22/25/28
202,スタミナ,1,2,耐:4/7/10/13/16/19/22/25/28
203,スタミナ,1,3,耐:7/10/13/16/19/22/25/28
301,パワー,1,1,力:1/4/7/10/13/16/19/22/25/28
302,パワー,1,2,力:4/7/10/13/16/19/22/25/28
303,パワー,1,3,力:7/10/13/16/19/22/25/28
401,根性,1,1,根:1/4/7/10/13/16/19/22/25/28
402,根性,1,2,根:4/7/10/13/16/19/22/25/28
403,根性,1,3,根:7/10/13/16/19/22/25/28
501,賢さ,1,1,智:1/4/7/10/13/16/19/22/25/28
502,賢さ,1,2,智:4/7/10/13/16/19/22/25/28
503,賢さ,1,3,智:7/10/13/16/19/22/25/28
1101,芝,2,1,芝適性+1/+2
1102,芝,2,2,芝適性+1/+2
1103,芝,2,3,芝適性+1/+2
1201,ダート,2,1,ダート適性+1/+2
1202,ダート,2,2,ダート適性+1/+2
1203,ダート,2,3,ダート適性+1/+2
2101,逃げ,2,1,逃適性+1/+2
2102,逃げ,2,2,逃適性+1/+2
2103,逃げ,2,3,逃適性+1/+2
2201,先行,2,1,先適性+1/+2
2202,先行,2,2,先適性+1/+2
2203,先行,2,3,先適性+1/+2
2301,差し,2,1,差適性+1/+2
2302,差し,2,2,差適性+1/+2
2303,差し,2,3,差適性+1/+2
2401,追込,2,1,追適性+1/+2
2402,追込,2,2,追適性+1/+2
2403,追込,2,3,追適性+1/+2
3101,短距離,2,1,短距離適性+1/+2
3102,短距離,2,2,短距離適性+1/+2
3103,短距離,2,3,短距離適性+1/+2
3201,マイル,2,1,マイル適性+1/+2
3202,マイル,2,2,マイル適性+1/+2
3203,マイル,2,3,マイル適性+1/+2
3301,中距離,2,1,中距離適性+1/+2
3302,中距離,2,2,中距離適性+1/+2
3303,中距離,2,3,中距離適性+1/+2
3401,長距離,2,1,長距離適性+1/+2
3402,長距離,2,2,長距離適性+1/+2
3403,長距離,2,3,長距離適性+1/+2
1000101,フェブラリーS,5,1,力:3/6/9
1000102,フェブラリーS,5,2,力:3/6/9
1000103,フェブラリーS,5,3,力:3/6/9
1000201,高松宮記念,5,1,速:3/6/9
1000202,高松宮記念,5,2,速:3/6/9
1000203,高松宮記念,5,3,速:3/6/9
1000301,大阪杯,5,1,根:3/6/9
1000302,大阪杯,5,2,根:3/6/9
1000303,大阪杯,5,3,根:3/6/9
1000401,桜花賞,5,1,根:3/6/9
1000402,桜花賞,5,2,根:3/6/9
1000403,桜花賞,5,3,根:3/6/9
1000501,皐月賞,5,1,力:3/6/9
1000502,皐月賞,5,2,力:3/6/9
1000503,皐月賞,5,3,力:3/6/9
1000601,天皇賞（春）,5,1,耐:3/6/9
1000602,天皇賞（春）,5,2,耐:3/6/9
1000603,天皇賞（春）,5,3,耐:3/6/9
1000701,NHKマイルC,5,1,速:3/6/9+力:3/6/9
1000702,NHKマイルC,5,2,速:3/6/9+力:3/6/9
1000703,NHKマイルC,5,3,速:3/6/9+力:3/6/9
1000801,ヴィクトリアマイル,5,1,速:3/6/9+力:3/6/9
1000802,ヴィクトリアマイル,5,2,速:3/6/9+力:3/6/9
1000803,ヴィクトリアマイル,5,3,速:3/6/9+力:3/6/9
1000901,オークス,5,1,耐:3/6/9
1000902,オークス,5,2,耐:3/6/9
1000903,オークス,5,3,耐:3/6/9
1001001,日本ダービー,5,1,根:3/6/9
1001002,日本ダービー,5,2,根:3/6/9
1001003,日本ダービー,5,3,根:3/6/9
1001101,安田記念,5,1,速:3/6/9
1001102,安田記念,5,2,速:3/6/9
1001103,安田記念,5,3,速:3/6/9
1001201,宝塚記念,5,1,根:3/6/9
1001202,宝塚記念,5,2,根:3/6/9
1001203,宝塚記念,5,3,根:3/6/9
1001301,スプリンターズS,5,1,速:3/6/9
1001302,スプリンターズS,5,2,速:3/6/9
1001303,スプリンターズS,5,3,速:3/6/9
1001401,秋華賞,5,1,智:3/6/9
1001402,秋華賞,5,2,智:3/6/9
1001403,秋華賞,5,3,智:3/6/9
1001501,菊花賞,5,1,耐:3/6/9
1001502,菊花賞,5,2,耐:3/6/9
1001503,菊花賞,5,3,耐:3/6/9
1001601,天皇賞（秋）,5,1,耐:3/6/9
1001602,天皇賞（秋）,5,2,耐:3/6/9
1001603,天皇賞（秋）,5,3,耐:3/6/9
1001701,エリザベス女王杯,5,1,耐:3/6/9
1001702,エリザベス女王杯,5,2,耐:3/6/9
1001703,エリザベス女王杯,5,3,耐:3/6/9
1001801,マイルCS,5,1,速:3/6/9
1001802,マイルCS,5,2,速:3/6/9
1001803,マイルCS,5,3,速:3/6/9
1001901,ジャパンC,5,1,力:3/6/9
1001902,ジャパンC,5,2,力:3/6/9
1001903,ジャパンC,5,3,力:3/6/9
1002001,チャンピオンズC,5,1,力:3/6/9
1002002,チャンピオンズC,5,2,力:3/6/9
1002003,チャンピオンズC,5,3,力:3/6/9
1002101,阪神JF,5,1,速:3/6/9+力:3/6/9
1002102,阪神JF,5,2,速:3/6/9+力:3/6/9
1002103,阪神JF,5,3,速:3/6/9+力:3/6/9
1002201,朝日杯FS,5,1,速:3/6/9+根:3/6/9
1002202,朝日杯FS,5,2,速:3/6/9+根:3/6/9
1002203,朝日杯FS,5,3,速:3/6/9+根:3/6/9
1002301,有馬記念,5,1,根:3/6/9
1002302,有馬記念,5,2,根:3/6/9
1002303,有馬記念,5,3,根:3/6/9
1002401,ホープフルS,5,1,速:3/6/9+耐:3/6/9
1002402,ホープフルS,5,2,速:3/6/9+耐:3/6/9
1002403,ホープフルS,5,3,速:3/6/9+耐:3/6/9
1002501,帝王賞,5,1,力:3/6/9
1002502,帝王賞,5,2,力:3/6/9
1002503,帝王賞,5,3,力:3/6/9
1002601,JDダービー,5,1,耐:3/6/9
1002602,JDダービー,5,2,耐:3/6/9
1002603,JDダービー,5,3,耐:3/6/9
1002701,JBCLクラシック,5,1,速:3/6/9+根:3/6/9
1002702,JBCLクラシック,5,2,速:3/6/9+根:3/6/9
1002703,JBCLクラシック,5,3,速:3/6/9+根:3/6/9
1002801,JBCスプリント,5,1,耐:3/6/9+力:3/6/9+根:3/6/9
1002802,JBCスプリント,5,2,耐:3/6/9+力:3/6/9+根:3/6/9
1002803,JBCスプリント,5,3,耐:3/6/9+力:3/6/9+根:3/6/9
1002901,JBCクラシック,5,1,耐:3/6/9+根:3/6/9
1002902,JBCクラシック,5,2,耐:3/6/9+根:3/6/9
1002903,JBCクラシック,5,3,耐:3/6/9+根:3/6/9
1003001,東京大賞典,5,1,力:3/6/9
1003002,東京大賞典,5,2,力:3/6/9
1003003,東京大賞典,5,3,力:3/6/9
1003101,マイルCS南部杯,5,1,智:3/6/9
1003102,マイルCS南部杯,5,2,智:3/6/9
1003103,マイルCS南部杯,5,3,智:3/6/9
1003201,かしわ記念,5,1,速:3/6/9
1003202,かしわ記念,5,2,速:3/6/9
1003203,かしわ記念,5,3,速:3/6/9
1003301,全日本ジュニア優駿,5,1,力:3/6/9
1003302,全日本ジュニア優駿,5,2,力:3/6/9
1003303,全日本ジュニア優駿,5,3,力:3/6/9
1003401,川崎記念,5,1,智:3/6/9
1003402,川崎記念,5,2,智:3/6/9
1003403,川崎記念,5,3,智:3/6/9
1003501,凱旋門賞,5,1,耐:3/6/9
1003502,凱旋門賞,5,2,耐:3/6/9
1003503,凱旋門賞,5,3,耐:3/6/9
1003601,BC・サンタアニタパーク,5,1,智:3/6/9
1003602,BC・サンタアニタパーク,5,2,智:3/6/9
1003603,BC・サンタアニタパーク,5,3,智:3/6/9
1003701,BC・デルマー,5,1,智:3/6/9
1003702,BC・デルマー,5,2,智:3/6/9
1003703,BC・デルマー,5,3,智:3/6/9
3000101,URAシナリオ,6,1,速:10/20/30+耐:10/20/30
3000102,URAシナリオ,6,2,速:10/20/30+耐:10/20/30
3000103,URAシナリオ,6,3,速:10/20/30+耐:10/20/30
3000201,アオハル杯シナリオ,6,1,力:10/20/30+智:10/20/30
3000202,アオハル杯シナリオ,6,2,力:10/20/30+智:10/20/30
3000203,アオハル杯シナリオ,6,3,力:10/20/30+智:10/20/30
3000301,クライマックスシナリオ,6,1,耐:10/20/30+根:10/20/30
3000302,クライマックスシナリオ,6,2,耐:10/20/30+根:10/20/30
3000303,クライマックスシナリオ,6,3,耐:10/20/30+根:10/20/30
3000401,グランドライブシナリオ,6,1,速:10/20/30+根:10/20/30
3000402,グランドライブシナリオ,6,2,速:10/20/30+根:10/20/30
3000403,グランドライブシナリオ,6,3,速:10/20/30+根:10/20/30
3000501,グランドマスターズシナリオ,6,1,速:10/20/30+力:10/20/30
3000502,グランドマスターズシナリオ,6,2,速:10/20/30+力:10/20/30
3000503,グランドマスターズシナリオ,6,3,速:10/20/30+力:10/20/30
3000601,L'Arcシナリオ,6,1,耐:10/20/30+力:10/20/30
3000602,L'Arcシナリオ,6,2,耐:10/20/30+力:10/20/30
3000603,L'Arcシナリオ,6,3,耐:10/20/30+力:10/20/30
3100101,L'Arc・海外洋芝適性,6,1,力:1/4/7/10/13
3100102,L'Arc・海外洋芝適性,6,2,力:1/4/7/10/13
3100103,L'Arc・海外洋芝適性,6,3,力:1/4/7/10/13
3100201,L'Arc・ロンシャン適性,6,1,PT:1/4/7/10/13
3100202,L'Arc・ロンシャン適性,6,2,PT:1/4/7/10/13
3100203,L'Arc・ロンシャン適性,6,3,PT:1/4/7/10/13
3100301,L'Arc・生活リズム,6,1,根:1/4/7/10/13
3100302,L'Arc・生活リズム,6,2,根:1/4/7/10/13
3100303,L'Arc・生活リズム,6,3,根:1/4/7/10/13
