factor_id,name,star
10010101,シューティングスター,1
10010102,シューティングスター,2
10010103,シューティングスター,3
10010201,わやかわ♪マリンダイヴ,1
10010202,わやかわ♪マリンダイヴ,2
10010203,わやかわ♪マリンダイヴ,3
10010301,威風堂々、夢錦！,1
10010302,威風堂々、夢錦！,2
10010303,威風堂々、夢錦！,3
10020101,先頭の景色は譲らない…！,1
10020102,先頭の景色は譲らない…！,2
10020103,先頭の景色は譲らない…！,3
10020201,水平線のその先へ,1
10020202,水平線のその先へ,2
10020203,水平線のその先へ,3
10030101,究極テイオーステップ,1
10030102,究極テイオーステップ,2
10030103,究極テイオーステップ,3
10030201,絶対は、ボクだ,1
10030202,絶対は、ボクだ,2
10030203,絶対は、ボクだ,3
10030301,歌舞歓楽や、ああをかし,1
10030302,歌舞歓楽や、ああをかし,2
10030303,歌舞歓楽や、ああをかし,3
10040101,紅焔ギア/LP1211-M,1
10040102,紅焔ギア/LP1211-M,2
10040103,紅焔ギア/LP1211-M,3
10040201,グッときて♪Chu,1
10040202,グッときて♪Chu,2
10040203,グッときて♪Chu,3
10040301,霊験灼然チョベリグ神託,1
10040302,霊験灼然チョベリグ神託,2
10040303,霊験灼然チョベリグ神託,3
10050101,煌星のヴォードヴィル,1
10050102,煌星のヴォードヴィル,2
10050103,煌星のヴォードヴィル,3
10050201,Ravissant,1
10050202,Ravissant,2
10050203,Ravissant,3
10050301,Gloire à toi!,1
10050302,Gloire à toi!,2
10050303,Gloire à toi!,3
10060101,勝利の鼓動,1
10060102,勝利の鼓動,2
10060103,勝利の鼓動,3
10060201,聖夜のミラクルラン！,1
10060202,聖夜のミラクルラン！,2
10060203,聖夜のミラクルラン！,3
10060301,灰の光跡：シンデレラグレイ,1
10060302,灰の光跡：シンデレラグレイ,2
10060303,灰の光跡：シンデレラグレイ,3
10070101,不沈艦、抜錨ォッ！,1
10070102,不沈艦、抜錨ォッ！,2
10070103,不沈艦、抜錨ォッ！,3
10070201,Adventure of 564,1
10070202,Adventure of 564,2
10070203,Adventure of 564,3
10070301,Vive la GOLD,1
10070302,Vive la GOLD,2
10070303,Vive la GOLD,3
10080101,カッティング×DRIVE！,1
10080102,カッティング×DRIVE！,2
10080103,カッティング×DRIVE！,3
10080201,Into High Gear!,1
10080202,Into High Gear!,2
10080203,Into High Gear!,3
10090101,ブリリアント・レッドエース,1
10090102,ブリリアント・レッドエース,2
10090103,ブリリアント・レッドエース,3
10090201,Queen's Lumination,1
10090202,Queen's Lumination,2
10090203,Queen's Lumination,3
10100101,ヴィクトリーショット！,1
10100102,ヴィクトリーショット！,2
10100103,ヴィクトリーショット！,3
10100201,Joyful Voyage!,1
10100202,Joyful Voyage!,2
10100203,Joyful Voyage!,3
10100301,Have S'more Love!,1
10100302,Have S'more Love!,2
10100303,Have S'more Love!,3
10110101,精神一到何事か成らざらん,1
10110102,精神一到何事か成らざらん,2
10110103,精神一到何事か成らざらん,3
10110201,ゲインヒール・スペリアー,1
10110202,ゲインヒール・スペリアー,2
10110203,ゲインヒール・スペリアー,3
10110301,演舞・撫子大薙刀,1
10110302,演舞・撫子大薙刀,2
10110303,演舞・撫子大薙刀,3
10120101,タイマン！デッドヒート！,1
10120102,タイマン！デッドヒート！,2
10120103,タイマン！デッドヒート！,3
10120201,大盛り！ファーストバイト！,1
10120202,大盛り！ファーストバイト！,2
10120203,大盛り！ファーストバイト！,3
10130101,貴顕の使命を果たすべく,1
10130102,貴顕の使命を果たすべく,2
10130103,貴顕の使命を果たすべく,3
10130201,最強の名を懸けて,1
10130202,最強の名を懸けて,2
10130203,最強の名を懸けて,3
10130301,きらめくは海、まばゆきは君,1
10130302,きらめくは海、まばゆきは君,2
